app,category,helpful_votes
Miro,collaborative whiteboard,37
Miro,collaborative whiteboard,35
Miro,collaborative whiteboard,36
Miro,collaborative whiteboard,41
Miro,collaborative whiteboard,6
Miro,collaborative whiteboard,41
Fieldkit,field research,41
Maze,usability testing,2
Dovetail,research repository,6
Fieldkit,field research,20
Maze,usability testing,11
Fieldkit,field research,37
Miro,collaborative whiteboard,18
Dovetail,research repository,19
Miro,collaborative whiteboard,44
Miro,collaborative whiteboard,18
Dovetail,research repository,16
Dovetail,research repository,23
Fieldkit,field research,33
Maze,usability testing,47
Fieldkit,field research,43
Miro,collaborative whiteboard,34
Maze,usability testing,23
Dovetail,research repository,4
Miro,collaborative whiteboard,31
Dovetail,research repository,47
Lookback,user research,6
Lookback,user research,28
Dovetail,research repository,22
Maze,usability testing,5
Lookback,user research,4
Lookback,user research,21
Lookback,user research,7
Fieldkit,field research,11
Dovetail,research repository,28
Lookback,user research,33
Fieldkit,field research,31
Miro,collaborative whiteboard,8
Lookback,user research,18
Lookback,user research,35
Dovetail,research repository,46
Miro,collaborative whiteboard,4
Fieldkit,field research,3
Lookback,user research,27
Fieldkit,field research,9
Dovetail,research repository,27
Lookback,user research,11
Maze,usability testing,25
Fieldkit,field research,21
Maze,usability testing,9
Lookback,user research,31
Miro,collaborative whiteboard,43
Miro,collaborative whiteboard,13
Dovetail,research repository,47
Dovetail,research repository,22
Fieldkit,field research,27
Miro,collaborative whiteboard,39
Maze,usability testing,33
Maze,usability testing,32
Lookback,user research,6
Dovetail,research repository,4
Miro,collaborative whiteboard,41
Lookback,user research,40
Maze,usability testing,3
Maze,usability testing,29
Fieldkit,field research,38
Dovetail,research repository,45
Dovetail,research repository,10
Maze,usability testing,40
Fieldkit,field research,21
Dovetail,research repository,35
Maze,usability testing,23
Maze,usability testing,31
Dovetail,research repository,32
Lookback,user research,11
Lookback,user research,39
Miro,collaborative whiteboard,30
Dovetail,research repository,24
Miro,collaborative whiteboard,16
Miro,collaborative whiteboard,7
Dovetail,research repository,14
Maze,usability testing,5
Fieldkit,field research,2
Miro,collaborative whiteboard,5
Dovetail,research repository,18
Fieldkit,field research,31
Fieldkit,field research,27
Maze,usability testing,42
Lookback,user research,35
Miro,collaborative whiteboard,22
Fieldkit,field research,41
Miro,collaborative whiteboard,45
Miro,collaborative whiteboard,20
Lookback,user research,41
Maze,usability testing,47
Miro,collaborative whiteboard,33
Fieldkit,field research,34
Fieldkit,field research,10
Maze,usability testing,17
Fieldkit,field research,10
Dovetail,research repository,23
Lookback,user research,28
Lookback,user research,1
Miro,collaborative whiteboard,39
Miro,collaborative whiteboard,28
Miro,collaborative whiteboard,35
Maze,usability testing,14
Dovetail,research repository,29
Lookback,user research,26
Fieldkit,field research,33
Lookback,user research,7
Maze,usability testing,22
Lookback,user research,8
Lookback,user research,9
Lookback,user research,2
Fieldkit,field research,26
Fieldkit,field research,43
Miro,collaborative whiteboard,29
Lookback,user research,23
Fieldkit,field research,3
Miro,collaborative whiteboard,20
Maze,usability testing,32
Maze,usability testing,13
Fieldkit,field research,43
Lookback,user research,23
Fieldkit,field research,24
Lookback,user research,21
Maze,usability testing,2
Dovetail,research repository,38
Dovetail,research repository,21
Lookback,user research,43
Miro,collaborative whiteboard,41
Lookback,user research,33
Lookback,user research,2
Fieldkit,field research,26
Dovetail,research repository,45
Dovetail,research repository,11
Lookback,user research,15
Maze,usability testing,45
Miro,collaborative whiteboard,18
Lookback,user research,18
Fieldkit,field research,12
Maze,usability testing,15
Lookback,user research,6
Miro,collaborative whiteboard,26
Miro,collaborative whiteboard,41
Lookback,user research,26
Dovetail,research repository,47
Maze,usability testing,21
Lookback,user research,7
Miro,collaborative whiteboard,43
Dovetail,research repository,20
Fieldkit,field research,20
Fieldkit,field research,17
Maze,usability testing,42
Maze,usability testing,45
Fieldkit,field research,8
Miro,collaborative whiteboard,30
Dovetail,research repository,33
Maze,usability testing,9
Lookback,user research,5
Miro,collaborative whiteboard,36
Miro,collaborative whiteboard,4
Maze,usability testing,30
Miro,collaborative whiteboard,46
Miro,collaborative whiteboard,24
Lookback,user research,46
Fieldkit,field research,27
Dovetail,research repository,17
Fieldkit,field research,15
Fieldkit,field research,15
Miro,collaborative whiteboard,8
Maze,usability testing,20
Maze,usability testing,33
Maze,usability testing,40
Lookback,user research,44
Dovetail,research repository,19
Dovetail,research repository,35
Miro,collaborative whiteboard,41
Miro,collaborative whiteboard,3
Lookback,user research,30
Maze,usability testing,47
Miro,collaborative whiteboard,15
Maze,usability testing,29
Miro,collaborative whiteboard,14
Fieldkit,field research,46
Dovetail,research repository,36
Miro,collaborative whiteboard,10
Maze,usability testing,31
Lookback,user research,26
Dovetail,research repository,39
Lookback,user research,0
Maze,usability testing,27
Dovetail,research repository,16
Maze,usability testing,36
Dovetail,research repository,2
Miro,collaborative whiteboard,5
Miro,collaborative whiteboard,33
Dovetail,research repository,30
Fieldkit,field research,11
Maze,usability testing,10
Lookback,user research,32
Maze,usability testing,38
Lookback,user research,14
Miro,collaborative whiteboard,39
Dovetail,research repository,20
Fieldkit,field research,6
Dovetail,research repository,1
Lookback,user research,18
Fieldkit,field research,43
Dovetail,research repository,9
Miro,collaborative whiteboard,16
Miro,collaborative whiteboard,21
Miro,collaborative whiteboard,19
Dovetail,research repository,47
Miro,collaborative whiteboard,7
Dovetail,research repository,1
Miro,collaborative whiteboard,26
Dovetail,research repository,24
Lookback,user research,34
Maze,usability testing,6
Maze,usability testing,36
Miro,collaborative whiteboard,32
Lookback,user research,29
Lookback,user research,6
Fieldkit,field research,30
Fieldkit,field research,1
Fieldkit,field research,10
Miro,collaborative whiteboard,40
Miro,collaborative whiteboard,24
Dovetail,research repository,36
Lookback,user research,29
Miro,collaborative whiteboard,25
Maze,usability testing,37
Dovetail,research repository,24
Dovetail,research repository,44
Dovetail,research repository,3
Fieldkit,field research,41
Miro,collaborative whiteboard,36
Dovetail,research repository,29
Miro,collaborative whiteboard,2
Miro,collaborative whiteboard,15
Fieldkit,field research,15
Lookback,user research,39
Dovetail,research repository,17
Dovetail,research repository,6
Miro,collaborative whiteboard,15
Maze,usability testing,40
Miro,collaborative whiteboard,44
Maze,usability testing,46
Maze,usability testing,17
Maze,usability testing,21
Fieldkit,field research,0
Miro,collaborative whiteboard,41
Maze,usability testing,40
Dovetail,research repository,37
Miro,collaborative whiteboard,44
Fieldkit,field research,6
Maze,usability testing,10
Dovetail,research repository,13
Fieldkit,field research,27
Dovetail,research repository,15
Lookback,user research,19
Lookback,user research,24
Miro,collaborative whiteboard,23
Dovetail,research repository,43
Miro,collaborative whiteboard,13
Fieldkit,field research,27
Fieldkit,field research,32
Dovetail,research repository,43
Maze,usability testing,29
Fieldkit,field research,10
Maze,usability testing,1
Miro,collaborative whiteboard,40
Miro,collaborative whiteboard,23
Fieldkit,field research,0
Miro,collaborative whiteboard,35
Miro,collaborative whiteboard,46
Fieldkit,field research,11
Lookback,user research,19
Lookback,user research,29
Miro,collaborative whiteboard,15
Miro,collaborative whiteboard,21
Miro,collaborative whiteboard,31
Dovetail,research repository,26
Maze,usability testing,8
Miro,collaborative whiteboard,15
Maze,usability testing,12
Lookback,user research,26
Maze,usability testing,10
Maze,usability testing,45
Maze,usability testing,28
Lookback,user research,8
Fieldkit,field research,41
Lookback,user research,4
Miro,collaborative whiteboard,36
Miro,collaborative whiteboard,17
Dovetail,research repository,35
Fieldkit,field research,34
Miro,collaborative whiteboard,22
Lookback,user research,17
Miro,collaborative whiteboard,6
Dovetail,research repository,14
Miro,collaborative whiteboard,37
Maze,usability testing,31
Dovetail,research repository,30
Lookback,user research,45
Maze,usability testing,7
Maze,usability testing,19
Dovetail,research repository,45
Lookback,user research,19
Maze,usability testing,2
Maze,usability testing,31
Fieldkit,field research,40
Fieldkit,field research,13
Fieldkit,field research,24
Miro,collaborative whiteboard,34
Miro,collaborative whiteboard,1
Fieldkit,field research,21
Lookback,user research,10
Miro,collaborative whiteboard,13
Miro,collaborative whiteboard,6
Lookback,user research,18
Lookback,user research,30
Maze,usability testing,5
Miro,collaborative whiteboard,11
Maze,usability testing,3
Fieldkit,field research,14
Miro,collaborative whiteboard,36
Miro,collaborative whiteboard,36
Lookback,user research,13
Dovetail,research repository,20
Fieldkit,field research,33
Fieldkit,field research,7
Dovetail,research repository,6
Lookback,user research,30
Maze,usability testing,2
Maze,usability testing,1
Maze,usability testing,14
Miro,collaborative whiteboard,41
Miro,collaborative whiteboard,33
Fieldkit,field research,33
Fieldkit,field research,15
Fieldkit,field research,40
Fieldkit,field research,28
Miro,collaborative whiteboard,1
Dovetail,research repository,14
Maze,usability testing,0
Dovetail,research repository,17
Miro,collaborative whiteboard,25
Fieldkit,field research,38
Fieldkit,field research,16
Maze,usability testing,3
Lookback,user research,31
Maze,usability testing,45
Dovetail,research repository,30
Maze,usability testing,11
Miro,collaborative whiteboard,43
Fieldkit,field research,26
Maze,usability testing,30
Lookback,user research,32
Miro,collaborative whiteboard,8
Maze,usability testing,31
Dovetail,research repository,10
Dovetail,research repository,27
Miro,collaborative whiteboard,20
Lookback,user research,40
Dovetail,research repository,19
Fieldkit,field research,33
Dovetail,research repository,25
Dovetail,research repository,32
Maze,usability testing,39
Fieldkit,field research,24
Maze,usability testing,0
Fieldkit,field research,26
Fieldkit,field research,38
Maze,usability testing,10
Miro,collaborative whiteboard,5
Lookback,user research,46
Maze,usability testing,2
Maze,usability testing,2
Dovetail,research repository,46
Maze,usability testing,29
Miro,collaborative whiteboard,7
Fieldkit,field research,43
Lookback,user research,31
